#,song_title,artist,page_title,views,genre
1,Que tinguem sort,Lluís Llach,"Que tinguem sort, de l'àlbum ""18 anys de cançons"" (Lluís Llach) - Viasona",3489,cançó autor
2,Compta amb mi,Txarango,"Compta amb mi, de l'àlbum ""Som riu"" (Txarango) - Viasona",2350,pop-rock
3,Bon dia,Els Pets,"Bon dia, de l'àlbum ""Bon dia"" (Els Pets) - Viasona",2011,pop-rock
4,Un núvol blanc,Lluís Llach,"Un núvol blanc, de l'àlbum ""Maremar"" (Lluís Llach) - Viasona",1599,cançó autor
5,Ítaca,Lluís Llach,"Ítaca, de l'àlbum ""Viatge a Ítaca"" (Lluís Llach) - Viasona",1574,cançó autor
6,"Fum, fum, fum",De Calaix,"Fum, fum, fum, de l'àlbum ""Escudella de Nadales"" (De Calaix) - Viasona",1560,folk
7,Qualsevol nit pot sortir el sol,Sisa,"Qualsevol nit pot sortir el sol, de l'àlbum ""Qualsevol nit pot sortir el sol"" (Sisa) - Viasona",1557,cançó autor
8,Abril 74,Lluís Llach,"Abril 74, de l'àlbum ""Viatge a Ítaca"" (Lluís Llach) - Viasona",1420,cançó autor
9,Louisiana o els camps de cotó,Els Amics de les Arts,"Louisiana o els camps de cotó, de l'àlbum ""Espècies per catalogar"" (Els Amics de les Arts) - Viasona",1294,pop-rock
10,Camals mullats,La Gossa Sorda,"Camals mullats, de l'àlbum ""Saó"" (La Gossa Sorda) - Viasona",1242,pop-rock
11,La rosa,Companyia El Petit Príncep,"La rosa, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",1228,cançó autor
12,Llença't,Lax'n'Busto,"Llença't, de l'àlbum ""Llença't"" (Lax'n'Busto) - Viasona",1194,pop-rock
13,Enganyar-te,La Ludwig Band,"Enganyar-te, de l'àlbum ""Enganyar-te"" (La Ludwig Band) - Viasona",1172,pop-rock
14,La vall del riu vermell,Xesco Boix,"La vall del riu vermell, de l'àlbum ""La volta al món en 12 cançons"" (Xesco Boix) - Viasona",1117,folk
15,Creure,La Ludwig Band,"Creure, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",1071,pop-rock
16,Quan tot s'enlaira,Txarango,"Quan tot s'enlaira, de l'àlbum ""Benvinguts al llarg viatge"" (Txarango) - Viasona",1071,pop-rock
17,Paraules d'amor,Joan Manuel Serrat,"Paraules d'amor, de l'àlbum ""Cançó de matinada"" (Joan Manuel Serrat) - Viasona",1063,cançó autor
18,D'un concert de la Mushkaa,La Ludwig Band,"D'un concert de la Mushkaa, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",1042,pop-rock
19,El noi de la mare,Josep Maria Espinàs,"El noi de la mare, de l'àlbum ""Nadal a casa"" (Josep Maria Espinàs) - Viasona",1024,folk
20,Himne dels pirates,Dagoll Dagom,"Himne dels pirates, de l'àlbum ""Mar i cel"" (Dagoll Dagom) - Viasona",938,cançó autor
21,Amor particular,Lluís Llach,"Amor particular, de l'àlbum ""T'estimo"" (Lluís Llach) - Viasona",933,cançó autor
22,Dos fills del destí,La Ludwig Band,"Dos fills del destí, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",913,pop-rock
23,Avui hem quedat a les quatre,La Ludwig Band,"Avui hem quedat a les quatre, de l'àlbum ""Avui hem quedat a les quatre"" (La Ludwig Band) - Viasona",912,pop-rock
24,Campanades a morts,Lluís Llach,"Campanades a morts, de l'àlbum ""Campanades a morts"" (Lluís Llach) - Viasona",856,cançó autor
25,L'elefant (mireu allà dalt),Mainasons,"L'elefant (mireu allà dalt), de l'àlbum ""Canta i balla amb la Nia, la Mel i en Ton Vol.2"" (Mainasons) - Viasona",839,folk
26,Resultat,Companyia El Petit Príncep,"Resultat, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",790,cançó autor
27,La alegría de vivir,"Judit Neddermann, Pau Figueres","La alegría de vivir, de l'àlbum ""Judit Neddermann & Pau Figueres"" (Judit Neddermann, Pau Figueres) - Viasona",774,cançó autor
28,Per nosaltres i els de dalt,Joan Dausà,"Per nosaltres i els de dalt, de l'àlbum ""Per nosaltres i els de dalt"" (Joan Dausà) - Viasona",760,cançó autor
