#,song_title,artist,page_title,views,genre
501,Com dues gotes d'aigua,Txarango,"Com dues gotes d'aigua, de l'àlbum ""Som riu"" (Txarango) - Viasona",101,pop-rock
502,Escriurem,Miki Núñez,"Escriurem, de l'àlbum ""Amuza"" (Miki Núñez) - Viasona",100,pop-rock
503,El millor encara està per venir,Filferro,"El millor encara està per venir, de l'àlbum ""El lladre de paraules vol. II"" (Filferro) - Viasona",100,pop-rock
504,Cascavells (Jingle bells),Família Picarol,"Cascavells (Jingle bells), de l'àlbum ""Cançons de Nadal"" (Família Picarol) - Viasona",100,folk
505,Alça l'aleta polleta,Los Sirgadors,"Alça l'aleta polleta, de l'àlbum ""La terra ensomniada"" (Los Sirgadors) - Viasona",99,folk
506,Diamants,Els Catarres,"Diamants, de l'àlbum ""Diamants"" (Els Catarres) - Viasona",99,pop-rock
507,Muntanyes del Canigó,Germà Negre,"Muntanyes del Canigó, de l'àlbum ""Puja aquí dalt i balla"" (Germà Negre) - Viasona",99,folk
508,LA GENT DE LA MEDITERRÀNIA,La Fúmiga,"LA GENT DE LA MEDITERRÀNIA, de l'àlbum ""LA GENT DE LA MEDITERRÀNIA"" (La Fúmiga) - Viasona",99,pop-rock
509,L'estaca,Lluís Llach,"L'estaca, de l'àlbum ""El bandoler, L'estaca"" (Lluís Llach) - Viasona",99,cançó autor
510,El far del sud,Sopa de Cabra,"El far del sud, de l'àlbum ""Nou"" (Sopa de Cabra) - Viasona",98,pop-rock
511,Som els nens de la Terra,Club Súper 3,"Som els nens de la Terra, de l'àlbum ""Clubitresicentimil"" (Club Súper 3) - Viasona",98,folk
512,La llegenda de Sant Jordi,Ambauka,"La llegenda de Sant Jordi, de l'àlbum ""La llegenda de Sant Jordi"" (Ambauka) - Viasona",98,folk
513,Espurna,"Stay Homas, Figa Flawas","Espurna, de l'àlbum ""Espurna"" (Stay Homas, Figa Flawas) - Viasona",98,pop-rock
514,Cant de la Muixeranga,Al Tall,"Cant de la Muixeranga, de l'àlbum ""Vergonya, cavallers, vergonya"" (Al Tall) - Viasona",98,folk
515,Des de casa un cervató,La Pataqueta,"Des de casa un cervató, de l'àlbum ""La Pataqueta"" (La Pataqueta) - Viasona",97,folk
516,Vull,Zoo,"Vull, de l'àlbum ""Tempestes vénen del Sud"" (Zoo) - Viasona",97,música urbana
