#,song_title,artist,page_title,views
3001,Del balcó de casa,Els Pets,"Del balcó de casa, de l'àlbum ""Respira"" (Els Pets) - Viasona",22
3002,Els colors,Dàmaris Gelabert,"Els colors, de l'àlbum ""Cançons Per Aprendre: 3-7 Anys Vol I"" (Dàmaris Gelabert) - Viasona",22
3003,Jota de sa Guitarra,Música Nostra,"Jota de sa Guitarra, de l'àlbum ""Ball de bot"" (Música Nostra) - Viasona",22
3004,Ja no soc així,"Adala, Ayryn","Ja no soc així, de l'àlbum ""Ja no soc així"" (Adala, Ayryn) - Viasona",22
3005,Embarbussabussabussabussaments,Filomena,"Embarbussabussabussabussaments, de l'àlbum ""TRA TRA TRO"" (Filomena) - Viasona",22
3006,Part 3,Ovidi Montllor,"Part 3, de l'àlbum ""Ovidi Montllor diu 'Coral romput' de Vicent Andrés Estellés"" (Ovidi Montllor) - Viasona",22
3007,El bon caçador,Pau i Jordi,"El bon caçador, de l'àlbum ""El rei de xauxa"" (Pau i Jordi) - Viasona",22
3008,Conte medieval,Rumbalbar,"Conte medieval, de l'àlbum ""Rumb al Bar"" (Rumbalbar) - Viasona",22
3009,Cap amunt,Oques Grasses,"Cap amunt, de l'àlbum ""Fruit del Deliri"" (Oques Grasses) - Viasona",22
3010,L'u d'Ador,Alimara,"L'u d'Ador, de l'àlbum ""30 anys"" (Alimara) - Viasona",22
3011,Poema del bon matí,Mari Dolç,"Poema del bon matí, de l'àlbum ""La vida és teva"" (Mari Dolç) - Viasona",22
3012,La cuina està tancada,Mazoni,"La cuina està tancada, de l'àlbum ""Banderes per daltònics"" (Mazoni) - Viasona",22
3013,Nina de Miraguano revisitada,Ovidi4,"Nina de Miraguano revisitada, de l'àlbum ""L’Ovidi se’n va a la Beckett"" (Ovidi4) - Viasona",22
3014,El lleó vergonyós,El Pot Petit,"El lleó vergonyós, de l'àlbum ""10 anys"" (El Pot Petit) - Viasona",22
3015,Sant Antoni,Quart creixent,"Sant Antoni, de l'àlbum ""Dos colors"" (Quart creixent) - Viasona",22
3016,Enamorat de tu,Cap Pela,"Enamorat de tu, de l'àlbum ""Cap pela"" (Cap Pela) - Viasona",22
3017,Cançó de la girafa,"Josep Maria Espinàs, Francesc Burrull","Cançó de la girafa, de l'àlbum ""Les 26 cançons infantils"" (Josep Maria Espinàs, Francesc Burrull) - Viasona",22
3018,L'amo de Son Carabassa,Música Nostra,"L'amo de Son Carabassa, de l'àlbum ""Deu anys"" (Música Nostra) - Viasona",22
3019,Escriu-me aviat,Lluís Llach,"Escriu-me aviat, de l'àlbum ""Viatge a Ítaca"" (Lluís Llach) - Viasona",22
3020,Barcelona s'il·lumina,Buhos,"Barcelona s'il·lumina, de l'àlbum ""Lluna plena"" (Buhos) - Viasona",22
3021,Fent voltes per Palma,Xanguito,"Fent voltes per Palma, de l'àlbum ""Fent voltes per Palma"" (Xanguito) - Viasona",22
3022,Pets,Xiula,"Pets, de l'àlbum ""Descontrol MParental"" (Xiula) - Viasona",22
